,ProductName,Description,Gender,PrimaryColor,ProductBrand
3984,deco window  blue set of 5 abstract square cushion covers,set content: 5 cushion covers colour: navy blue shape: square pattern: abstract closure: zip,unisex,blue,deco window
3985,calvin klein  solid the standard hs hard-sided cabin trolley suitcase,"pink solid hard-sided water-resistant cabin trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with retractable handle on the top and four 360-degree rotatable skate wheelsone main compartment secured with a zipper flap, has a mesh zipper pocketone zipper compartment on the flapzipper detail to adjust the depth of suitcasewarranty: 3 years against manufacturing defectswarranty provided by brand/manufacturer.",unisex, pink,calvin klein
3986,roadster unisex navy blue & grey striped scarf,navy blue and grey striped scarf and has a solid border,unisex,blue,roadster
3987,flying machine  black & white slim fit checked casual shirt,"black and white checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, black,flying machine
3988,giordano  beige woven design sneakers,"a pair of round-toe beige woven design sneakers, has regular styling, lace-up detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 1 yearwarranty provided by brand/manufacturer",men, beige,giordano
3989,priyaasi  & red gold-plated kundan-studded handcrafted jewellery set,"this jewellery set consists of a necklace and a pair of earringsgreen and red gold-plated kundan-studded handcrafted necklace, has artificial beads, has drawstring closurea pair of matching drop earrings, secured with a post-and-back closure",women, green,priyaasi
3990,mine4nine  black comfort regular fit solid parallel maternity trousers,black solid mid-rise maternity trousers and hook and bar closure,women, black,mine4nine
3991,flying machine  blue slim tapered micheal fit mid-rise clean look stretchable jeans,"blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
3992,karmic vision  pink & black colourblocked layered dress,"black and pink colourblocked knitted sheath dress, has a round neck, short cape sleeves, and straight hem",women, red,karmic vision
3993,chrome & coral  grey & red colourblocked tights,"grey & red colourblocked tights, has an elasticated waistband, slip-on closure",women, red,chrome & coral
3994,genie  multicoloured printed 15 inches small backpack,multicoloured backpacknon-padded haul loop1 main compartment with zip closurenon-padded backzip pocketpadded shoulder strap: paddedwater-resistance: yeswarranty: 1 yearwarranty provided by brand/manufacturer,women, red,genie
3995,deco window  blue set of 2 abstract square cushion covers,set content: 2 cushion covers colour: navy blue shape: square pattern: abstract closure: zip,unisex,blue,deco window
3997,kvsfab  blue & white checked straight kurta,"blue and white checked straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits",women,blue,kvsfab
3998,lavie  off-white solid wedges with metallic studs detail,"a pair of off-white open toe wedges with metallic studs detailing, has regular styling, open back detailsynthetic uppercushioned footbedtextured and patterned outsole, has a wedge heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, white,lavie
3999,karmic vision  coral pink solid lace detail top,"coral pink solid woven regular top with lace detail, has a boat neck, and short sleeves",women, pink,karmic vision
4000,fausto  red solid slip-on sneakers,"a pair of round-toe red solid slip-on sneakers, has regular styling, slip-on detailsynthetic leather uppercushioned footbedtextured and patterned outsole",women, red,fausto
4001,indian terrain  green & navy blue striped polo collar t-shirt,"green and navy blue striped t-shirt, has a polo collar, and long sleeves",boys,blue,indian terrain
4003,mast & harbour  black solid jacket,"black and navy blue solid jacket, has a mandarin collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester",women, black,mast & harbour
4004,alena  black printed straight kurta,"black printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits",women, black,alena
4005,bodycare  of 4 assorted solid non-wired non padded everyday bras e1507dpumhres,pack of 4 assorted printed full-coverage everyday brasnon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: all day comfortdisclaimer: the final product delivered might vary in colour and prints from the display here.,women, red,bodycare
4006,roadster  brown solid tailored jacket,"brown solid tailored jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and an attached lining with 2 in-built pockets",men, red,roadster
4007,mast & harbour  blue solid joggers,"a pair of blue solid knitted mid-rise joggers, has an elasticated waistband with drawstring fastening, four pockets, cuffed hems",men,blue,mast & harbour
4008,indian terrain  charcoal grey solid reversible bomber jacket,"charcoal grey solid reversible jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester",boys, grey,indian terrain
4009,hrx by hrithik roshan  grey solid training anti-microbial slim fit track pants,the hrx men's training track pants deliver on performance and style. the anti-microbial technology fights against odor creating bacteria while the reflective details keep you visible in low light.features:anti-microbial technology keeps odor-causing microbes away.cuff detailing at the bottom keeps tracks from riding up.cut and sew constructionplacement printreflective detailslength: full lengthcolour: grey melangefit: slim fit,men, grey,hrx by hrithik roshan
4010,latin quarters  navy blue self design sheath dress,"navy blue self-design woven sheath dress, has a round neck, three-quarter bell sleeves, button closure, an attached lining, straight hem, lace insert detail",women,blue,latin quarters
4012,genie  blue geometric print 16 inches medium backpack,blue backpacknon-padded haul loop1 main compartment with zip closurenon-padded backzip pocketpadded shoulder strap: paddedwater-resistance: yeswarranty: 1 yearwarranty provided by brand/manufacturer,women,blue,genie
4013,adorn by nikita ladiwala  sterling silver handcrafted dome shaped jhumkas,silver-toned dome shaped earrings secured with a post and back,women, silver,adorn by nikita ladiwala
4014,archies  gifts white & red printed ceramic mug,content: 1 piece mugpattern: printedfinish: mattematerial: ceramicfeatures: dishwasher and microwave safe,unisex, red,archies
4015,hancock  charcoal grey & beige regular fit striped formal shirt,"charcoal grey and beige striped formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket",men, beige,hancock
4016,calvin klein jeans  blue regular fit solid casual shirt,"blue solid casual shirt, has a button-down collar, long sleeves, button placket, curved hem",men,blue,calvin klein jeans
4017,karmic vision  yellow solid a-line top,"yellow solid woven a-line top with ruffled detail, has a round neck, and short sleeves",women, yellow,karmic vision
4018,united colors of benetton  red & white colourblocked two fold wallet,"red and white colourblocked two fold wallet with bow detail, has a button closure1 main compartment with a zip separator sleeve4 card holders, 1 slip pocket",women, red,united colors of benetton
4019,highlander  white slim fit solid casual shirt,"white solid casual shirt, has a mandarin collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, white,highlander
4020,rare  grey & black striped top,"grey and black striped knitted regular top, has a round neck, and three-quarter flared sleeves",women, black,rare
4022,flying machine  black solid polo collar t-shirt,"black solid t-shirt, has a polo collar, and short sleeves",men, black,flying machine
4024,archies  gifts white & black printed ceramic coffee mug,pattern: printedfinish: mattematerial: ceramic,unisex, black,archies
4025,karmic vision  black solid flounce a-line tiered dress,"black solid woven flounce a-line dress, has a tie-up neck, long sleeves, half button closure, an attached lining, flounce hem",women, red,karmic vision
4026,indian terrain  coral pink printed round neck t-shirt,"coral pink printed t-shirt, has a round neck, and long sleeves",boys, pink,indian terrain
4027,lavie  black solid bow detail block heels with metallic embellishment,"a pair of black open toe block heels with bow and metallic detail, has regular styling, backstrap with buckle detailsynthetic uppercushioned footbedtextured and patterned outsole, has a block heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, black,lavie
4028,blissta  green & maroon embroidered kurta with trousers,"green and maroon embroidered kurta with trousers green and maroon a-line calf length kurta, has a u-neck, three-quarter sleeves, asymmetric hem, side slitsgreen and maroon  printed trousers, has partially elasticated waistband, drawstring closure",women, green,blissta
4029,indian terrain  pink striped polo collar t-shirt,"pink, white & blue striped t-shirt, has a polo collar, and short sleeves",boys, pink,indian terrain
4030,indian terrain  grey printed round neck t-shirt,"grey printed t-shirt, has a round neck, and short sleeves",boys, grey,indian terrain
4031,flying machine  green & navy blue slim fit checked casual shirt,"green and navy blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men,blue,flying machine
4032,karmic vision  green solid fit & flare dress,"green solid woven fit and flare dress with embellished detail and lace detail, has a high neck, sleeveless, button closure, an attached lining, and flared hem",women, green,karmic vision
4033,obsessions  & blue acrylic soap dispenser,set content: 1 soap dispensercolour: transparent & bluematerial: acrylicpattern: printed,unisex,blue,obsessions
4034,fausto  black sneakers,"a pair of round-toe black & white sneakers, has regular styling, lace-up detailcanvas uppercushioned footbedtextured and patterned outsole",women, black,fausto
4035,archies  gifts pink & black printed ceramic coffee mug,type: mugpattern: printedfinish: mattematerial: ceramic,unisex, black,archies
4036,mast & harbour  navy blue solid front open sweater,"navy blue solid front open sweater, collarless, long sleeves, and ribbed hem",women,blue,mast & harbour
4037,flying machine  black & white slim fit printed casual shirt,"black and white printed casual shirt, has a spread collar, long sleeves, button placket, curved hem",men, black,flying machine
4038,w  pink & white printed straight kurta,"pink and white printed straight kurta, has a round neck, three-quarter sleeves, straight hem, and side slits",women, white,w
4039,indian terrain  red printed polo collar t-shirt,"red printed t-shirt, has a polo collar, and long sleeves",boys, red,indian terrain
4040,moda rapido  & white striped t-shirt,"navy blue and white striped t-shirt, has a round neck, long sleeves ",men, white,moda rapido
4041,indian terrain  brown solid windcheater biker pu jacket,"brown solid jacket, has a stand collar, 4 pockets, zip closure, long sleeves, straight hem, and polyester lining",boys, brown,indian terrain
4042,karatcart  & off-white gold-plated stone-studded crescent shaped chandbalis,peach-coloured and off-white gold-plated stone-studded crescent shaped chandbalis with beaded detailsecured with a post and back closure,women, red,karatcart
4044,buckleup  peach-coloured solid ballerinas,"a pair of peach-coloured round-toe flats, has regular styling, slip-on detailsynthetic uppercushioned footbedtextured and patterned outsole",women, red,buckleup
4045,archies  2-pieces printed ceramic cups set,content: 2 pieces cups setpattern: printedfinish: mattematerial: ceramicfeatures: dishwasher and microwave safe,unisex, white,archies
4046,hancock  grey slim fit checked formal trousers,"grey checked mid-rise trousers, hook and bar closure, and 4 pockets",men, grey,hancock
4047,heatwave  black slip-on sneakers,"a pair of round-toe black slip-on sneakers, has regular styling, slip-on detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",women, black,heatwave
4048,flying machine  blue jackson skinny fit low-rise clean look stretchable jeans,"blue light wash 5-pocket low-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4049,archies  gifts white & red printed ceramic mug,content: 1 piece mugpattern: printedfinish: mattematerial: ceramicfeatures: dishwasher and microwave safe,unisex, red,archies
4050,dressberry  blue solid denim jacket,"blue solid jacket, has a spread collar, 2 pockets, button closure, long sleeves, straight hem, unlined",women,blue,dressberry
4051,giordano  black solid heels,"a pair of black open toe heels, has regular styling, backstrap detailsynthetic uppercushioned footbedtextured and patterned outsole, has a slim heelwarranty: 1 yearwarranty provided by brand/manufacturer",women, black,giordano
4052,adorn by nikita ladiwala  circular studs,silver-toned circular earrings and has artificial beads secured with a post and back,women, silver,adorn by nikita ladiwala
4053,gap  grey melange logo fleece hoodie,"soft fleece knitlong sleeves, ribbing at cuffs and hemgraphic logo at chestkangaroo pockets",men, grey,gap
4054,obsessions  & black acrylic soap dispenser,set content: 1 soap dispenser colour:  transparent & blackmaterial: acrylic pattern: printed mounting type: none feature: stand,unisex, black,obsessions
4056,qraa men  of 2 himalayan activated charcoal purifying face wash 200gm,what it is ?qraa men pack of 2 himalayan activated charcoal purifying face wash 200gmwhat it does?enriched with tea tree oilleaves the skin feeling cleanremoves impurities and dirt effectivelyenriched with bamboo charcoal from the himalayan foothills,men, charcoal,qraa men
4057,archies  gifts red & off-white printed coffee mug,pattern: printedfinish: mattematerial: ceramic,unisex, red,archies
4058,truffle collection  gold-toned solid open toe flats,"a pair of gold-toned open-toed flats, has mid-top styling, ankle loop detailsynthetic uppercushioned footbedtextured and patterned outsole",women, gold,truffle collection
4059,karmic vision  black solid bardot top,"black solid woven bardot top with layered detail, has shoulder straps, and long sleeves",women, black,karmic vision
4060,indian terrain  white printed round neck t-shirt,"white and black printed t-shirt, has a round neck, and long sleeves",boys, white,indian terrain
4062,bownbee  yellow & pink solid kurta with dhoti pants,"yellow and pink solid kurta with dhoti pantsyellow solid straight knee length kurta with embroidered detail, has a mandarin collar, long sleeves, button closures, straight hem, side slitspink and yellow solid dhoti pants, has elasticated waistband, slip-on closure",boys, yellow,bownbee
4063,indian terrain  grey melange printed sweatshirt,"grey melange printed sweatshirt, has a mock collar, applique detail, two pockets, long sleeves, zip closure, straight hem",boys, grey,indian terrain
4064,baggit  solid sling bag,"grey solid sling bag, has a zip closure1 main compartment, 1 inner pockettablet sleeve: nowarranty: 6 monthswarranty provided by brand/manufacturer",women, grey,baggit
4065,hancock  blue slim fit solid formal shirt,"blue solid formal shirt, has a button-down collar, long sleeves, button placket, straight hem, and 1 patch pocket",men,blue,hancock
4066,lavie  red snakeskin-textured t-strap flats,"a pair of red snakeksin textured open-toed flats, has regular styling, no backstrap detailsynthetic upper with braided detailcushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",women, red,lavie
4067,archies  gifts white printed ceramic mug,set content: 1 mugpattern: printedfinish: mattematerial: ceramicfeatures: dishwasher and microwave safe,unisex, white,archies
4068,hrx by hrithik roshan  black solid slim fit training joggers,the hrx men's training track pants are practical and designed to enhance your performance. their reflective details keep you visible while you workout after work while the anti microbial technology makes body odor a worry of the pastfeaturesanti-microbial technology keeps odor-causing microbes awaycuff detailing at the bottom keeps tracks from riding upcut and sew constructionplacement printreflective detailslength: full lengthcolour: jet blackfit: slim fitmaterial and careknit track pantsfabric: cotton polyester blendmachine wash,men, black,hrx by hrithik roshan
4070,indian terrain  green printed round neck t-shirt,"green printed t-shirt, has a round neck, and short sleeves",boys, green,indian terrain
4071,dressberry  blue solid denim jacket,"blue solid denim jacket with tasselled detail, has a spread collar, 2 pockets, button closure, long sleeves, straight hem, and unlined",women,blue,dressberry
4072,flying machine  red & off-white slim fit checked casual shirt,"red, off-white and navy blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, red,flying machine
4074,dressberry  black solid heels,"a pair of black open toe heels, has regular styling, backstrap detailsynthetic uppercushioned footbedtextured and patterned outsole, has a slim heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, black,dressberry
4075,karmic vision  red solid cold-shoulder top,"red solid woven regular cold-sholulder top with gathered detail, has a round neck, and short sleeves",women, red,karmic vision
4076,force nxt  blue printed lounge pants mnal-591,"blue printed lounge pants, has a drawstring closure, 2 pockets",men,blue,force nxt
4077,lavie  black & pink floral print block heels,"a pair of black, pink, and purple open toe floral print block heels, has mid-top styling, ankle loop with buckle detailsynthetic uppercushioned footbedtextured and patterned outsole, has a block heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, black,lavie
4078,lavie  grey & blue studded open toe flats,"a pair of grey and blue studded open-toed flats, has regular styling, buckle detailsynthetic upper with fringed detailcushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",women,blue,lavie
4079,flying machine  blue micheal slim tapered fit mid-rise clean look stretchable jeans,"blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4080,here&now  blue slim tapered fit mid-rise mildly distressed stretchable jeans,"blue dark wash 5-pocket mid-rise jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",men,blue,here&now
4081,karmic vision  blue solid maxi dress,"blue solid woven maxi dress with gathered and embellished detail, has a mandarin collar, sleeveless, button closure, an attached lining, and flared hem",women,blue,karmic vision
4082,flying machine  blue skinny jackson fit low-rise clean look stretchable jeans,"blue medium wash 5-pocket low-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4083,flying machine  blue jackson skinny fit low-rise clean look stretchable jeans,"blue dark wash 5-pocket low-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4084,alena  black floral embroidered straight kurta,"black embroidered straight kurta, has a mandarin collar, three-quarter roll-up sleeves, straight hem, and side slits",women, red,alena
4085,urbane  beige sneakers,"a pair of round-toe beige sneakers, has regular styling, lace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",women, beige,urbane
4086,indian terrain  blue printed round neck t-shirt,"blue printed t-shirt, has a round neck, and long sleeves",boys,blue,indian terrain
4087,indian terrain  multicoloured striped polo collar t-shirt,"multicoloured striped t-shirt, has a polo collar, and short sleeves",boys, red,indian terrain
4088,puma  navy blue textile running non-marking shoes,"a pair of navy blue running shoes, has regular styling, lace-ups detail  textile upper  cushioned footbed  textured and patterned outsole  warranty: 3 months",men,blue,puma
4089,priyaasi  & green gold-plated peacock shaped drop earrings,"magenta and green peacock shaped drop earrings, gold-plated, and has kundan stones and beaded detailsecured with a post and back closure",women, green,priyaasi
4090,canary london  grey checked slim-fit single-breasted blazer,"grey checked casual blazer, has a notched lapel collar, single-breasted with double button closures, long sleeves, three pockets, and a double vented hem on the back",men, grey,canary london
4091,fausto  black slip-on sneakers,"a pair of round-toe black slip-on sneakers, has regular styling, slip-on detailcanvas uppercushioned footbedtextured and patterned outsole",women, black,fausto
4092,rare  peach-coloured printed top,"peach-coloured printed woven regular top, has a choker neck, long cold shoulder sleeves, and button closure",women, red,rare
4093,fausto  pink sneakers,"a pair of round-toe pink sneakers, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsole",women, pink,fausto
4094,indian terrain  blue printed polo collar t-shirt,"blue printed t-shirt, has a polo collar, and short sleeves",boys,blue,indian terrain
4095,indian terrain  turquoise blue printed round neck t-shirt,"turquoise blue printed t-shirt, has a round neck, and short sleeves",boys,blue,indian terrain
4096,karmic vision  red & white colourblocked one-shoulder a-line dress,"red and white colourblocked woven a-line dress, has one shoulder styling, sleeveless, concealed zip closure, straight hem",women, red,karmic vision
4097,crocs  brown solid open toe flats,"a pair of brown open-toed flats, has regular styling, slip-on detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",women, brown,crocs
4098,bodycare  solid pack of 3 non-wired non padded everyday bra e1517s-3pcs,pack of 3 assorted solid full-coverage everyday branon padded and non-wired seamless cupsregular straps and back closureback style: regularfeature: all day comfortdisclaimer: the final product delivered might vary in colour and prints from the display here.,women, red,bodycare
4099,indian terrain  black printed round neck t-shirt,"black printed t-shirt, has a round neck, and short sleeves",boys, black,indian terrain
4100,levis  stranger things men black self design sweatshirt,"black self design sweatshirt, has a round neck, long sleeves, straight hem",men, black,levis
4101,flying machine  blue jackson skinny fit low-rise clean look stretchable jeans,"blue dark wash 5-pocket low-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4102,lavie  beige solid wedges with metallic detail,"a pair of beige open toe wedges with metallic detail, has regular styling, backstrap with buckle detailsynthetic uppercushioned footbedtextured and patterned outsole, has a wedge heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, beige,lavie
4103,mast & harbour  pink & white striped maxi dress,"pink and white striped knitted maxi dress, has a round neck, short sleeves, and straight hem",women, white,mast & harbour
4104,indian terrain  navy blue printed polo collar t-shirt,"navy blue printed t-shirt, has a polo collar, short sleeves and button closure",boys,blue,indian terrain
4105,archies  gifts white & black ceramic coffee mug,content: singe ceramic mugpattern: printedfinish: mattematerial: ceramic,unisex, black,archies
4106,metro  blue solid ballerinas,"a pair of blue & pink pointed toe flats, has regular styling, slip-on detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",women,blue,metro
4107,indian terrain  blue solid polo collar t-shirt,"blue solid t-shirt, has a polo collar, short sleeves and button closure",boys,blue,indian terrain
4108,priyaasi  set of 2 oxidised german silver anklets with silver plating,set of two oxidised german silver beaded anklets with silver-platingeach secured with s-hook closure,women, silver,priyaasi
4109,lavie  black & brown solid flatforms,"a pair of black and brown open toe flatforms, has regular styling, backstrap with buckle detailsynthetic uppercushioned footbedtextured and patterned outsole, has a flatform heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, black,lavie
4110,indian terrain  green & navy colourblocked polo collar t-shirt,"green and navy colourblocked t-shirt with embroidered detail, has a polo collar, and long sleeves",boys, green,indian terrain
4111,karmic vision  black solid shift dress,"black solid woven shift dress with lace inserts, has a boat neck, three-quarter sleeves, concealed zip closure, and straight hem",women, black,karmic vision
4112,adorn by nikita ladiwala  sterling silver handcrafted contemporary drop earrings,silver-toned contemporary earrings secured with a post and back,women, silver,adorn by nikita ladiwala
4113,jack & jones  blue solid sweater,"blue solid knitted sweater, has a round neck, long sleeves",men,blue,jack & jones
4114,calvin klein unisex red solid medium trolley bag,"red solid medium trolley bag secured with zip closureone handle on the top and one on the side,mounted 360-degree wheelsone main zip compartment with a zip lining, has a zip pocket on the flapwarranty: 3 yearswarranty provided by the brand owner/manufacturer",unisex, red,calvin klein
4115,fancy mart  & brown artificial  bamboo grass plant with pot,set content: one bamboo grass artificial plant with potplant colour: greenpot colour: brown flower material: plasticpot material: wood,unisex, green,fancy mart
4116,adorenite  navy blue satin solid night suit pj026,"navy blue night suit consists of shirt and pyjamasnavy blue solid shirt, has a shirt collar, long sleevesa pair of navy blue solid pyjamas, has slip-on closure",women,blue,adorenite
4117,adorenite  blue robe with embroidered detail ro004,"navy blue solid robe, has an open front, long sleeves, a tie-up detail along the waist with embriodered detail",women,blue,adorenite
4118,karmic vision  brown solid off-shoulder a-line dress,"brown solid knitted a-line dress with ruffled detail, has an off-shoulder neck, short bell sleeves, flounce hem",women, brown,karmic vision
4119,jack & jones  & navy checked casual shirt,"red and navy blue checked casual shirt, has a spread collar, a full button placket, long sleeves, two patch pockets, a curved hemline",men, red,jack & jones
4120,flying machine  rust orange & brown striped round neck t-shirt,"rust orange and brown striped t-shirt, has a round neck, and short sleeves",men, brown,flying machine
4121,buckleup  pink solid sandals,"a pair of pink open toe sandals, has regular styling, open back detailsynthetic uppercushioned footbedtextured and patterned outsole, has a block heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, pink,buckleup
4122,karmic vision  yellow solid top,"yellow solid woven regular top with contrast taping , has a round neck, and three-quarter sleeves",women, yellow,karmic vision
4123,latin quarters  peach-coloured checked shirt style top,"peach-coloured and grey checked woven shirt style  top, has a shirt collar, and three-quarter sleeves",women, red,latin quarters
4124,flying machine  blue jackson skinny fit low-rise clean look stretchable jeans,"blue medium wash 5-pocket low-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4125,archies  gifts white printed ceramic cup,pattern: printedfinish: mattematerial: ceramic,unisex, white,archies
4126,indian terrain  yellow printed round neck t-shirt,"yellow printed t-shirt, has a round neck, and long sleeves",boys, yellow,indian terrain
4127,fausto  black sneakers,"a pair of round-toe black sneakers, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsole",men, black,fausto
4129,hancock  brown slim fit checked formal trousers,"brown checked mid-rise trousers, hook and bar closure, and 4 pockets",men, brown,hancock
4130,hypernation  blue & grey striped straight kurta,"blue and grey striped straight kurta, has a mandarin collar, long sleeves, curved hem, and multiple slits",men,blue,hypernation
4132,calvin klein  black textured leather two fold wallet,"black textured two fold wallet2 main compartments 8 card holders, 2 slip pockets",men, red,calvin klein
4133,highlander  yellow striped polo collar t-shirt,"yellow and navy blue striped t-shirt, has a polo collar, and short sleeves",men, yellow,highlander
4134,calvin klein unisex black textured medium trolley bag,"black textured medium trolley bag secured with zip closureone handle on the top and one on the side,mounted 360-degree wheelsone main zip compartment with a zip lining, has a zip pocket on the flapwarranty: 3 yearswarranty provided by the brand owner/manufacturer",unisex, red,calvin klein
4135,lavie  black & red woven design t-strap flats,"a pair of black, red, and mint green open-toed flats, has regular styling, buckle detailsynthetic woven design uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",women, red,lavie
4136,archies  gifts multicolured printed ceramic coffee mug,type: mugpattern: printedfinish: mattematerial: ceramic,unisex, red,archies
4137,archies  gifts white & black printed ceramic coffee mug,content: singe ceramic mugpattern: printedfinish: mattematerial: ceramic,unisex, black,archies
4138,pantaloons junior  coral & peach-coloured fit and flare dress,"coral and peach-coloured colourblocked woven fit and flare dress, has a round neck, sleeveless, button closure, and flared hem",girls, red,pantaloons junior
4139,hrx by hrithik roshan  black solid rapid dry seamless yoga tights,"the hrx women's yoga tights are designed to stay in place no matter what asana you're in. constructed with stretchable, lightweight fabric and seamless technology, you'll never have to worry about your skin chafing while you workout.featuresseamless construction prevent chafing. stretchable jacquard fabric allows easy 360 degree movement.engineered with rapid dry technologycolour: jet black melangefit: regular fitknit tights",women, black,hrx by hrithik roshan
4140,blissta  charcoal grey  & blue printed a-line kurta,"charcoal grey and blue printed a-line kurta, has a mandarin collar, short sleeves, 2 pockets and straight hem",women,blue,blissta
4142,flying machine  blue & white slim fit checked casual shirt,"blue and white checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men,blue,flying machine
4143,minions by kook n keech  charcoal grey printed sweatshirt,"charcoal grey printed sweatshirt, has a mock collar, two pockets, long sleeves, zip closure, straight hem",women, grey,minions by kook n keech
4144,giordano  & blue colourblocked shoulder bag,"grey colourblocked shoulder bag, has a zip closure2 main compartments, 1 external and 5 inner pocketstablet sleeve: notwo handles with a detachable sling strapwarranty: 1 yearwarranty provided by brand/manufacturer",women,blue,giordano
4145,rare  green solid top,"green solid woven regular top, has a tie-up neck, and long bell sleeves",women, green,rare
4146,indian terrain  red solid polo collar t-shirt,"red solid t-shirt, has a polo collar, and short sleeves",boys, red,indian terrain
4147,indian terrain  red & black glow-in-the-dark t-shirt,"red and black glow-in-the-dark print t-shirt, has a round neck, and long sleeves",boys, red,indian terrain
4148,giordano  olive green sneakers,"a pair of round-toe olive green sneakers, has regular styling, lace-up detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 1 yearwarranty provided by brand/manufacturer",men, green,giordano
4149,lavie  gold-toned solid wedges,"a pair of gold-toned open toe wedges, has mid-top styling, ankle loop with zip detailsynthetic uppercushioned footbedtextured and patterned outsole, has a wedge heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, gold,lavie
4150,archies  gifts white & black ceramic mug for valentine,pattern: printedfinish: mattematerial: ceramic,unisex, black,archies
4151,highlander  turquoise blue striped polo collar t-shirt,"turquoise blue and navy blue striped t-shirt, has a polo collar, and short sleeves",men,blue,highlander
4152,flying machine  blue slim tapered micheal fit mid-rise clean look stretchable jeans,"blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4153,indian terrain  green & navy blue striped polo collar t-shirt,"green and navy blue striped t-shirt, has a polo collar, and long sleeves",boys,blue,indian terrain
4154,mast & harbour  blue solid sweatshirt,"blue solid sweatshirt, has long sleeves, round neck, straight hem",women,blue,mast & harbour
4155,fausto  olive green slip-on sneakers,"a pair of round-toe olive green slip-on sneakers, has regular styling, slip-on detailsynthetic uppercushioned footbedtextured and patterned outsole",men, green,fausto
4156,indian terrain  light grey printed sweatshirt,"light grey printed sweatshirt, round neck, long sleeves",boys, grey,indian terrain
4157,karmic vision  peach-coloured solid a-line high-low dress,"peach-coloured solid woven a-line dress, has a round neck, sleeveless, concealed zip closure, an attached lining, and high-low hem",women, red,karmic vision
4158,caprese  green solid shoulder bag,"olive green solid shoulder bag, has a zip closure1 main compartment, 2 inner pocketstablet sleeve: notwo handles with a non-detachable sling strap",women, green,caprese
4159,clovia  solid nightdress ns1101r09s/m,"maroon solid nightdress, has v-neck, sleeveless, lace insertscomes with a maroon solid robe, has v-neck, long sleeves, lace inserts",women, maroon,clovia
4160,fausto  burgundy solid slip-on sneakers,"a pair of round-toe burgundy solid slip-on sneakers, has regular styling, slip-on detailsynthetic leather uppercushioned footbedtextured and patterned outsole",women, burgundy,fausto
4161,karmic vision  green wrap dress,"green solid woven wrap dress with tie-up detail, has a v-neck, three-quarter sleeves, tulip hem",women, green,karmic vision
4162,adorenite   purple striped full sleeves night suit shirt and pyjama set,"purple night suit consists of shirt and pyjamaspurple  striped  shirt, has a shirt collar, long sleevesa pair of purple striped pyjamas, has slip-on closure",women, purple,adorenite
